date,1M,3M,6M,1Y,2Y,3Y,4Y,5Y
2026-01-12,12.2,6.2,9.2,17.2,42.3,43.1,46.8,43.2
2026-01-20,14.5,10.2,12.3,23.1,43.4,44.5,47.1,43.1
2026-02-02,18.7,18.9,22.3,36.6,53.4,54.2,55.4,53.5
2026-02-09,19.0,20.7,24.8,42.6,61.3,61.2,62.9,60.3
2026-02-17,19.0,20.7,24.8,42.6,61.3,61.2,62.9,60.3
2026-02-23,21.0,20.2,25.3,37.5,66.6,70.9,76.0,74.2
2026-03-02,20.3,20.0,26.4,38.4,66.5,73.0,77.9,76.1
2026-03-09,21.3,23.1,28.3,32.7,56.1,60.7,65.0,62.9
2026-03-16,22.0,20.7,23.2,25.5,49.2,55.2,61.6,59.6
2026-03-23,24.6,21.3,17.0,12.9,36.2,45.5,52.0,51.2
2026-03-30,24.6,21.3,17.0,12.9,36.2,45.5,52.0,51.2
2026-04-06,27.3,25.8,25.2,25.0,46.4,53.4,60.4,60.3
2026-04-13,27.3,25.8,25.2,25.0,46.4,53.4,60.4,60.3
2026-04-20,28.1,30.1,32.5,36.7,54.9,61.7,66.9,64.0
2026-04-27,25.8,28.8,32.7,37.1,45.9,51.2,58.7,56.8
2026-05-04,28.0,29.7,31.1,24.6,38.2,43.4,46.6,49.1
2026-05-11,31.0,32.0,32.5,29.5,41.5,45.1,52.1,51.1
2026-05-18,36.4,35.1,32.0,26.8,31.9,37.1,42.2,40.9
2026-05-26,38.6,35.2,28.9,24.3,34.0,40.9,48.2,48.2
2026-06-01,37.9,35.9,30.6,26.8,37.6,45.3,52.7,52.0
2026-06-08,38.7,36.7,31.0,22.3,31.3,38.0,46.9,46.3
2026-06-15,36.4,35.4,30.9,29.8,43.3,48.9,56.5,56.1
2026-06-22,38.2,31.5,20.9,10.9,29.7,37.7,47.3,49.0
2026-06-29,46.2,34.6,23.4,23.4,42.6,53.8,64.5,66.1
